,id,slug,shortname,name,city,region,country,coordinates,source,contact,currentPrediction,isGroundhog,type,active,successor,description,image,predictionsCount,latestPrediction.year,latestPrediction.shadow,latestPrediction.details,Category,year,shadow,details
0,1,punxsutawney-phil,Phil,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,"40.9311988,-78.9622483",https://www.groundhog.org/history-past-predictions,,https://www.stormfax.com/ghogday.htm,1,Groundhog,1,,"Punxsutawney Phil is a superstar prognosticating groundhog from Punxsutawney, Pennsylvania. He makes his predictions from his burrow on Gobler’s Knob. According to legend, Phil has made weather prognostications since 1886, owing his improbably long life to the miraculous “groundhog nog” administered at the annual Groundhog Picnic.",https://groundhog-day.com/images/ghogs/punxsutawney-phil.jpeg,131,2026,1.0,"Shadow at 7:27 AM; 7º with overcast skies. Victoria Vespico, Miss Pennsylvania 2025, was the guest of honor of the Inner Circle at the Knob. PETA recommends Phil be retired and replaced with “a giant 3D Hologram projection.”",Groundhog,1886,,Groundhog Day first recognized in Punxsutawney by Weathers Wags.
1,1,punxsutawney-phil,Phil,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,"40.9311988,-78.9622483",https://www.groundhog.org/history-past-predictions,,https://www.stormfax.com/ghogday.htm,1,Groundhog,1,,"Punxsutawney Phil is a superstar prognosticating groundhog from Punxsutawney, Pennsylvania. He makes his predictions from his burrow on Gobler’s Knob. According to legend, Phil has made weather prognostications since 1886, owing his improbably long life to the miraculous “groundhog nog” administered at the annual Groundhog Picnic.",https://groundhog-day.com/images/ghogs/punxsutawney-phil.jpeg,131,2026,1.0,"Shadow at 7:27 AM; 7º with overcast skies. Victoria Vespico, Miss Pennsylvania 2025, was the guest of honor of the Inner Circle at the Knob. PETA recommends Phil be retired and replaced with “a giant 3D Hologram projection.”",Groundhog,1887,1.0,First Official trek to Gobbler’s Knob. Saw Shadow.
2,1,punxsutawney-phil,Phil,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,"40.9311988,-78.9622483",https://www.groundhog.org/history-past-predictions,,https://www.stormfax.com/ghogday.htm,1,Groundhog,1,,"Punxsutawney Phil is a superstar prognosticating groundhog from Punxsutawney, Pennsylvania. He makes his predictions from his burrow on Gobler’s Knob. According to legend, Phil has made weather prognostications since 1886, owing his improbably long life to the miraculous “groundhog nog” administered at the annual Groundhog Picnic.",https://groundhog-day.com/images/ghogs/punxsutawney-phil.jpeg,131,2026,1.0,"Shadow at 7:27 AM; 7º with overcast skies. Victoria Vespico, Miss Pennsylvania 2025, was the guest of honor of the Inner Circle at the Knob. PETA recommends Phil be retired and replaced with “a giant 3D Hologram projection.”",Groundhog,1888,1.0,Saw Shadow.
3,1,punxsutawney-phil,Phil,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,"40.9311988,-78.9622483",https://www.groundhog.org/history-past-predictions,,https://www.stormfax.com/ghogday.htm,1,Groundhog,1,,"Punxsutawney Phil is a superstar prognosticating groundhog from Punxsutawney, Pennsylvania. He makes his predictions from his burrow on Gobler’s Knob. According to legend, Phil has made weather prognostications since 1886, owing his improbably long life to the miraculous “groundhog nog” administered at the annual Groundhog Picnic.",https://groundhog-day.com/images/ghogs/punxsutawney-phil.jpeg,131,2026,1.0,"Shadow at 7:27 AM; 7º with overcast skies. Victoria Vespico, Miss Pennsylvania 2025, was the guest of honor of the Inner Circle at the Knob. PETA recommends Phil be retired and replaced with “a giant 3D Hologram projection.”",Groundhog,1889,,No Record.
4,1,punxsutawney-phil,Phil,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,"40.9311988,-78.9622483",https://www.groundhog.org/history-past-predictions,,https://www.stormfax.com/ghogday.htm,1,Groundhog,1,,"Punxsutawney Phil is a superstar prognosticating groundhog from Punxsutawney, Pennsylvania. He makes his predictions from his burrow on Gobler’s Knob. According to legend, Phil has made weather prognostications since 1886, owing his improbably long life to the miraculous “groundhog nog” administered at the annual Groundhog Picnic.",https://groundhog-day.com/images/ghogs/punxsutawney-phil.jpeg,131,2026,1.0,"Shadow at 7:27 AM; 7º with overcast skies. Victoria Vespico, Miss Pennsylvania 2025, was the guest of honor of the Inner Circle at the Knob. PETA recommends Phil be retired and replaced with “a giant 3D Hologram projection.”",Groundhog,1890,0.0,No Shadow.
5,1,punxsutawney-phil,Phil,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,"40.9311988,-78.9622483",https://www.groundhog.org/history-past-predictions,,https://www.stormfax.com/ghogday.htm,1,Groundhog,1,,"Punxsutawney Phil is a superstar prognosticating groundhog from Punxsutawney, Pennsylvania. He makes his predictions from his burrow on Gobler’s Knob. According to legend, Phil has made weather prognostications since 1886, owing his improbably long life to the miraculous “groundhog nog” administered at the annual Groundhog Picnic.",https://groundhog-day.com/images/ghogs/punxsutawney-phil.jpeg,131,2026,1.0,"Shadow at 7:27 AM; 7º with overcast skies. Victoria Vespico, Miss Pennsylvania 2025, was the guest of honor of the Inner Circle at the Knob. PETA recommends Phil be retired and replaced with “a giant 3D Hologram projection.”",Groundhog,1891,,No Record.
6,1,punxsutawney-phil,Phil,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,"40.9311988,-78.9622483",https://www.groundhog.org/history-past-predictions,,https://www.stormfax.com/ghogday.htm,1,Groundhog,1,,"Punxsutawney Phil is a superstar prognosticating groundhog from Punxsutawney, Pennsylvania. He makes his predictions from his burrow on Gobler’s Knob. According to legend, Phil has made weather prognostications since 1886, owing his improbably long life to the miraculous “groundhog nog” administered at the annual Groundhog Picnic.",https://groundhog-day.com/images/ghogs/punxsutawney-phil.jpeg,131,2026,1.0,"Shadow at 7:27 AM; 7º with overcast skies. Victoria Vespico, Miss Pennsylvania 2025, was the guest of honor of the Inner Circle at the Knob. PETA recommends Phil be retired and replaced with “a giant 3D Hologram projection.”",Groundhog,1892,,No Record.
7,1,punxsutawney-phil,Phil,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,"40.9311988,-78.9622483",https://www.groundhog.org/history-past-predictions,,https://www.stormfax.com/ghogday.htm,1,Groundhog,1,,"Punxsutawney Phil is a superstar prognosticating groundhog from Punxsutawney, Pennsylvania. He makes his predictions from his burrow on Gobler’s Knob. According to legend, Phil has made weather prognostications since 1886, owing his improbably long life to the miraculous “groundhog nog” administered at the annual Groundhog Picnic.",https://groundhog-day.com/images/ghogs/punxsutawney-phil.jpeg,131,2026,1.0,"Shadow at 7:27 AM; 7º with overcast skies. Victoria Vespico, Miss Pennsylvania 2025, was the guest of honor of the Inner Circle at the Knob. PETA recommends Phil be retired and replaced with “a giant 3D Hologram projection.”",Groundhog,1893,,No Record.
8,1,punxsutawney-phil,Phil,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,"40.9311988,-78.9622483",https://www.groundhog.org/history-past-predictions,,https://www.stormfax.com/ghogday.htm,1,Groundhog,1,,"Punxsutawney Phil is a superstar prognosticating groundhog from Punxsutawney, Pennsylvania. He makes his predictions from his burrow on Gobler’s Knob. According to legend, Phil has made weather prognostications since 1886, owing his improbably long life to the miraculous “groundhog nog” administered at the annual Groundhog Picnic.",https://groundhog-day.com/images/ghogs/punxsutawney-phil.jpeg,131,2026,1.0,"Shadow at 7:27 AM; 7º with overcast skies. Victoria Vespico, Miss Pennsylvania 2025, was the guest of honor of the Inner Circle at the Knob. PETA recommends Phil be retired and replaced with “a giant 3D Hologram projection.”",Groundhog,1894,,No Record.
9,1,punxsutawney-phil,Phil,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,"40.9311988,-78.9622483",https://www.groundhog.org/history-past-predictions,,https://www.stormfax.com/ghogday.htm,1,Groundhog,1,,"Punxsutawney Phil is a superstar prognosticating groundhog from Punxsutawney, Pennsylvania. He makes his predictions from his burrow on Gobler’s Knob. According to legend, Phil has made weather prognostications since 1886, owing his improbably long life to the miraculous “groundhog nog” administered at the annual Groundhog Picnic.",https://groundhog-day.com/images/ghogs/punxsutawney-phil.jpeg,131,2026,1.0,"Shadow at 7:27 AM; 7º with overcast skies. Victoria Vespico, Miss Pennsylvania 2025, was the guest of honor of the Inner Circle at the Knob. PETA recommends Phil be retired and replaced with “a giant 3D Hologram projection.”",Groundhog,1895,,No Record.
10,1,punxsutawney-phil,Phil,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,"40.9311988,-78.9622483",https://www.groundhog.org/history-past-predictions,,https://www.stormfax.com/ghogday.htm,1,Groundhog,1,,"Punxsutawney Phil is a superstar prognosticating groundhog from Punxsutawney, Pennsylvania. He makes his predictions from his burrow on Gobler’s Knob. According to legend, Phil has made weather prognostications since 1886, owing his improbably long life to the miraculous “groundhog nog” administered at the annual Groundhog Picnic.",https://groundhog-day.com/images/ghogs/punxsutawney-phil.jpeg,131,2026,1.0,"Shadow at 7:27 AM; 7º with overcast skies. Victoria Vespico, Miss Pennsylvania 2025, was the guest of honor of the Inner Circle at the Knob. PETA recommends Phil be retired and replaced with “a giant 3D Hologram projection.”",Groundhog,1896,,No Record.
11,1,punxsutawney-phil,Phil,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,"40.9311988,-78.9622483",https://www.groundhog.org/history-past-predictions,,https://www.stormfax.com/ghogday.htm,1,Groundhog,1,,"Punxsutawney Phil is a superstar prognosticating groundhog from Punxsutawney, Pennsylvania. He makes his predictions from his burrow on Gobler’s Knob. According to legend, Phil has made weather prognostications since 1886, owing his improbably long life to the miraculous “groundhog nog” administered at the annual Groundhog Picnic.",https://groundhog-day.com/images/ghogs/punxsutawney-phil.jpeg,131,2026,1.0,"Shadow at 7:27 AM; 7º with overcast skies. Victoria Vespico, Miss Pennsylvania 2025, was the guest of honor of the Inner Circle at the Knob. PETA recommends Phil be retired and replaced with “a giant 3D Hologram projection.”",Groundhog,1897,,No Record.
